captured_at,window_days,session_count,total_tokens,input_tokens,output_tokens,total_cost_usd,cost_per_session_usd,source
2026-08-24T00:39:15Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-24T06:35:30Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-24T12:25:58Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-24T18:23:48Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-25T00:38:51Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-25T06:26:36Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-25T12:26:16Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-25T18:24:13Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-26T00:39:43Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-26T06:29:16Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-26T12:28:48Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-26T19:29:56Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-27T05:41:52Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-27T17:03:53Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-28T01:53:31Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-28T17:52:10Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-29T01:18:03Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-29T11:56:43Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-29T16:01:04Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-29T20:09:00Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-30T02:20:50Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-30T10:53:35Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-30T15:41:39Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-30T20:16:14Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-31T02:15:56Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-31T12:06:58Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-08-31T22:10:21Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-01T02:34:20Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-01T10:44:36Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-01T15:44:37Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-01T20:17:22Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-02T01:55:24Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-02T10:09:30Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-02T15:35:07Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-02T20:15:57Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-03T02:00:57Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-03T10:21:27Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-03T15:27:33Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-03T20:16:14Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-04T01:56:39Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-04T10:08:36Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-04T15:24:29Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-04T20:01:03Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-05T01:57:01Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-05T09:38:02Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-05T14:12:07Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-05T19:41:25Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-06T01:51:45Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-06T09:53:33Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-06T14:35:26Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-06T19:44:16Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
2026-09-07T01:48:54Z,7,0,0,0,0,0.000000,0.000000,interstat-empty
